,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,int_rate_groups,open_acc_groups,revol_util_groups,total_acc_groups,annual_inc_groups,installment_groups,loan_amnt_groups
28982,1600,1600, 60 months,11.12,34.89,B,B3,10,RENT,71200.0,Verified,Jun-10,Charged Off,other,14.8,Jan-77,1,5,0,80.0,16,9%-13%,2-10,80-100,2-20,85k-112k,14-145,0-5k
28985,24000,15200, 60 months,17.19,379.32,E,E3,1,RENT,39804.0,Verified,Jun-10,Charged Off,debt_consolidation,9.5,Oct-95,2,9,0,12.7,27,17%-21%,2-10,0-20,20-37,31k-58k,274-403,20k-25k
28987,2000,2000, 60 months,13.98,46.52,C,C3,10,RENT,22800.0,Not Verified,Jun-10,Charged Off,car,13.63,Aug-98,3,5,0,23.7,7,13%-17%,2-10,20-40,2-20,3k-31k,14-145,0-5k
28995,6500,6500, 60 months,11.12,141.72,B,B3,6,MORTGAGE,40000.0,Source Verified,Jun-10,Charged Off,major_purchase,12.78,Nov-01,0,9,0,49.7,17,9%-13%,2-10,40-60,2-20,31k-58k,14-145,5k-10k
28998,7000,7000, 60 months,17.56,176.09,E,E4,4,MORTGAGE,68000.0,Source Verified,Jun-10,Charged Off,debt_consolidation,13.54,Sep-05,1,14,0,50.4,30,17%-21%,10-19,40-60,20-37,58k-85k,145-274,5k-10k
29032,15000,15000, 60 months,19.41,392.51,F,F4,10,RENT,60000.0,Verified,Jun-10,Charged Off,debt_consolidation,15.06,Apr-99,0,3,1,94.2,12,17%-21%,2-10,80-100,2-20,58k-85k,274-403,10k-15k
29033,10000,10000, 60 months,15.95,242.92,D,D4,10,MORTGAGE,51600.0,Not Verified,Jun-10,Charged Off,other,10.28,May-93,3,9,1,61.6,25,13%-17%,2-10,60-80,20-37,58k-85k,145-274,5k-10k
29036,12000,12000, 60 months,13.23,274.46,C,C1,0,RENT,40000.0,Not Verified,Jun-10,Charged Off,debt_consolidation,20.49,Jan-02,2,6,0,87.7,27,13%-17%,2-10,80-100,20-37,31k-58k,274-403,10k-15k
29039,10000,10000, 60 months,17.56,251.55,E,E4,2,RENT,30000.0,Source Verified,Jun-10,Charged Off,debt_consolidation,20.72,Jun-97,3,13,0,89.4,21,17%-21%,10-19,80-100,20-37,31k-58k,145-274,5k-10k
29040,18250,18250, 36 months,16.82,649.03,E,E2,10,MORTGAGE,48000.0,Not Verified,Jun-10,Charged Off,major_purchase,18.68,Oct-02,1,7,0,79.6,9,17%-21%,2-10,60-80,2-20,31k-58k,531-660,15k-20k
29043,14000,11525, 36 months,7.88,360.52,A,A5,0,RENT,30548.0,Source Verified,Jun-10,Charged Off,debt_consolidation,18.38,Nov-98,0,9,0,64.7,32,5%-9%,2-10,60-80,20-37,31k-58k,274-403,10k-15k
29047,11200,11200, 36 months,13.23,378.62,C,C1,7,RENT,34800.0,Not Verified,Jun-10,Charged Off,debt_consolidation,7.07,Jun-95,0,10,0,41.2,22,13%-17%,2-10,40-60,20-37,31k-58k,274-403,10k-15k
29048,1750,1750, 36 months,13.61,59.48,C,C2,3,MORTGAGE,38400.0,Not Verified,Jun-10,Charged Off,major_purchase,16.34,May-96,0,4,0,43.4,15,13%-17%,2-10,40-60,2-20,31k-58k,14-145,0-5k
29060,16000,16000, 60 months,18.3,408.92,F,F1,4,RENT,48000.0,Verified,Jun-10,Charged Off,debt_consolidation,10.72,Jul-97,0,7,1,72.4,18,17%-21%,2-10,60-80,2-20,31k-58k,403-531,15k-20k
29064,8400,8400, 60 months,13.23,192.12,C,C1,2,RENT,45000.0,Not Verified,Jun-10,Charged Off,educational,10.67,Jul-80,2,9,0,72.5,11,13%-17%,2-10,60-80,2-20,31k-58k,145-274,5k-10k
29085,8500,8500, 60 months,11.49,186.9,B,B4,4,MORTGAGE,27000.0,Not Verified,Jun-10,Charged Off,home_improvement,0.89,Dec-05,0,12,0,2.0,22,9%-13%,10-19,0-20,20-37,31k-58k,145-274,5k-10k
29088,7000,7000, 60 months,16.45,171.91,E,E1,2,RENT,26004.0,Verified,Jun-10,Charged Off,other,1.94,Jan-05,0,5,0,59.3,7,13%-17%,2-10,40-60,2-20,3k-31k,145-274,5k-10k
29090,8000,8000, 36 months,7.14,247.53,A,A3,9,MORTGAGE,54000.0,Not Verified,Jun-10,Charged Off,debt_consolidation,9.07,May-83,0,10,0,66.7,19,5%-9%,2-10,60-80,2-20,58k-85k,145-274,5k-10k
29097,5600,5600, 60 months,15.21,133.85,D,D2,2,RENT,40000.0,Verified,Jun-10,Charged Off,other,10.32,Jun-98,3,4,0,2.4,5,13%-17%,2-10,0-20,2-20,31k-58k,14-145,5k-10k
29098,10000,10000, 36 months,14.35,343.48,C,C4,1,MORTGAGE,62000.0,Not Verified,Jun-10,Charged Off,debt_consolidation,20.63,Apr-89,1,8,0,89.3,30,13%-17%,2-10,80-100,20-37,58k-85k,274-403,5k-10k
29103,6000,6000, 36 months,15.58,209.71,D,D3,9,MORTGAGE,65827.0,Not Verified,Jun-10,Charged Off,debt_consolidation,9.24,Sep-02,3,4,1,44.6,8,13%-17%,2-10,40-60,2-20,58k-85k,145-274,5k-10k
29108,2400,2400, 60 months,16.32,58.78,D,D5,3,RENT,20800.0,Not Verified,Jun-10,Charged Off,other,10.44,Aug-06,3,3,0,0.0,5,13%-17%,2-10,0-20,2-20,3k-31k,14-145,0-5k
29115,9600,9600, 60 months,16.82,237.66,E,E2,2,RENT,54000.0,Source Verified,Jun-10,Charged Off,debt_consolidation,14.49,Aug-05,0,6,0,85.1,14,17%-21%,2-10,80-100,2-20,58k-85k,145-274,5k-10k
29117,5600,5600, 36 months,11.12,183.66,B,B3,10,RENT,72000.0,Source Verified,Jun-10,Charged Off,moving,19.85,Jan-01,0,11,0,73.7,16,9%-13%,10-19,60-80,2-20,85k-112k,145-274,5k-10k
29131,6000,6000, 36 months,11.86,198.89,B,B5,4,RENT,81000.0,Source Verified,Jun-10,Charged Off,moving,17.44,Mar-98,0,10,0,84.4,18,9%-13%,2-10,80-100,2-20,85k-112k,145-274,5k-10k
29155,14000,14000, 60 months,16.82,346.59,E,E2,4,MORTGAGE,80000.0,Not Verified,Jun-10,Charged Off,home_improvement,14.05,Oct-94,0,12,0,94.6,20,17%-21%,10-19,80-100,20-37,85k-112k,274-403,10k-15k
29167,18000,11750, 60 months,11.12,256.18,B,B3,1,MORTGAGE,73000.0,Source Verified,Jun-10,Charged Off,home_improvement,1.33,Dec-87,1,10,0,2.2,25,9%-13%,2-10,0-20,20-37,85k-112k,145-274,15k-20k
29173,3600,3600, 60 months,7.88,72.79,A,A5,2,RENT,30000.0,Not Verified,Jun-10,Charged Off,credit_card,21.08,Jun-94,1,7,0,30.5,20,5%-9%,2-10,20-40,20-37,31k-58k,14-145,0-5k
29175,14500,14500, 36 months,15.95,509.42,D,D4,10,MORTGAGE,89000.0,Source Verified,Jun-10,Charged Off,debt_consolidation,23.87,Dec-99,3,16,1,89.5,36,13%-17%,10-19,80-100,20-37,85k-112k,403-531,10k-15k
29191,8400,8400, 60 months,17.93,212.99,E,E5,10,MORTGAGE,20000.0,Source Verified,Jun-10,Charged Off,major_purchase,4.2,Apr-06,1,6,0,48.7,9,17%-21%,2-10,40-60,2-20,3k-31k,145-274,5k-10k
29194,25000,15425, 60 months,13.61,355.81,C,C2,2,RENT,60000.0,Verified,Jun-10,Charged Off,credit_card,22.34,Nov-91,0,5,0,42.5,36,13%-17%,2-10,40-60,20-37,58k-85k,274-403,20k-25k
29209,15000,15000, 60 months,19.41,392.51,F,F4,10,MORTGAGE,70000.0,Verified,Jun-10,Charged Off,debt_consolidation,16.3,Sep-94,0,8,0,94.3,14,17%-21%,2-10,80-100,2-20,58k-85k,274-403,10k-15k
29226,2000,2000, 36 months,14.84,69.18,D,D1,0,RENT,45000.0,Not Verified,Jun-10,Charged Off,other,10.61,Jul-05,2,5,0,88.1,8,13%-17%,2-10,80-100,2-20,31k-58k,14-145,0-5k
29227,4800,4800, 60 months,11.86,106.44,B,B5,10,RENT,62000.0,Verified,Jun-10,Charged Off,small_business,6.23,Jun-01,1,5,0,0.0,13,9%-13%,2-10,0-20,2-20,58k-85k,14-145,0-5k
29232,4000,4000, 60 months,11.12,87.21,B,B3,1,RENT,32656.0,Source Verified,Jun-10,Charged Off,major_purchase,16.35,Apr-01,0,15,0,16.4,23,9%-13%,10-19,0-20,20-37,31k-58k,14-145,0-5k
29237,10000,6800, 60 months,13.98,158.16,C,C3,0,RENT,54000.0,Not Verified,Jun-10,Charged Off,other,23.15,Mar-94,3,7,0,38.3,9,13%-17%,2-10,20-40,2-20,58k-85k,145-274,5k-10k
29259,15000,15000, 60 months,15.58,361.44,D,D3,9,MORTGAGE,46000.0,Source Verified,Jun-10,Charged Off,debt_consolidation,21.47,Dec-95,1,13,1,74.0,21,13%-17%,10-19,60-80,20-37,31k-58k,274-403,10k-15k
29266,24000,24000, 60 months,19.04,623.11,F,F3,3,RENT,60204.0,Not Verified,Jun-10,Charged Off,debt_consolidation,18.68,Jan-97,1,5,0,95.2,16,17%-21%,2-10,80-100,2-20,58k-85k,531-660,20k-25k
29270,14000,8175, 60 months,15.95,198.59,D,D4,1,MORTGAGE,70000.0,Not Verified,Jun-10,Charged Off,educational,12.1,Apr-02,2,14,0,10.4,35,13%-17%,10-19,0-20,20-37,58k-85k,145-274,10k-15k
29275,1500,1500, 60 months,17.56,37.74,E,E4,0,RENT,42000.0,Not Verified,Jun-10,Charged Off,educational,3.17,Aug-84,1,3,0,56.6,4,17%-21%,2-10,40-60,2-20,31k-58k,14-145,0-5k
29281,10000,10000, 60 months,17.93,253.56,E,E5,1,MORTGAGE,99000.0,Not Verified,Jun-10,Charged Off,other,4.07,Jan-80,0,12,0,35.0,30,17%-21%,10-19,20-40,20-37,112k-140k,145-274,5k-10k
29283,1400,1400, 36 months,11.86,46.41,B,B5,0,RENT,4080.0,Not Verified,Jun-10,Charged Off,debt_consolidation,13.24,Feb-07,0,8,0,22.1,8,9%-13%,2-10,20-40,2-20,3k-31k,14-145,0-5k
29285,15000,15000, 36 months,15.95,526.99,D,D4,10,RENT,36144.0,Verified,Jun-10,Charged Off,debt_consolidation,13.68,Oct-05,0,3,0,94.9,12,13%-17%,2-10,80-100,2-20,31k-58k,403-531,10k-15k
29292,5000,5000, 36 months,11.86,165.74,B,B5,2,MORTGAGE,70000.0,Not Verified,Jun-10,Charged Off,debt_consolidation,14.76,Apr-02,3,3,0,0.0,17,9%-13%,2-10,0-20,2-20,58k-85k,145-274,0-5k
29293,18000,12025, 60 months,15.21,287.41,D,D2,9,MORTGAGE,90000.0,Not Verified,Jun-10,Charged Off,debt_consolidation,11.55,Jan-91,1,10,1,19.4,23,13%-17%,2-10,0-20,20-37,85k-112k,274-403,15k-20k
29296,15000,15000, 60 months,13.98,348.87,C,C3,10,RENT,43920.0,Not Verified,Jun-10,Charged Off,debt_consolidation,8.2,Feb-96,3,10,0,76.9,29,13%-17%,2-10,60-80,20-37,31k-58k,274-403,10k-15k
29303,8000,8000, 60 months,13.98,186.07,C,C3,4,RENT,33600.0,Not Verified,Jun-10,Charged Off,major_purchase,9.25,Aug-04,0,9,0,56.3,10,13%-17%,2-10,40-60,2-20,31k-58k,145-274,5k-10k
29305,16750,16750, 36 months,10.38,543.47,B,B1,8,MORTGAGE,60996.0,Not Verified,Jun-10,Charged Off,debt_consolidation,13.36,Jun-97,3,12,0,60.3,41,9%-13%,10-19,60-80,37-55,58k-85k,531-660,15k-20k
29306,1600,1600, 36 months,7.88,50.05,A,A5,0,RENT,35000.0,Not Verified,Jun-10,Charged Off,moving,19.82,Nov-98,2,8,0,12.5,13,5%-9%,2-10,0-20,2-20,31k-58k,14-145,0-5k
29312,10000,10000, 60 months,11.49,219.88,B,B4,3,RENT,103000.0,Verified,Jun-10,Charged Off,car,17.09,Mar-87,0,13,0,68.3,25,9%-13%,10-19,60-80,20-37,112k-140k,145-274,5k-10k
29323,6000,6000, 60 months,11.86,133.05,B,B5,0,MORTGAGE,65000.0,Source Verified,Jun-10,Charged Off,debt_consolidation,3.9,Jul-98,0,7,0,18.9,33,9%-13%,2-10,0-20,20-37,58k-85k,14-145,5k-10k
29326,10000,10000, 60 months,13.98,232.58,C,C3,3,RENT,45000.0,Not Verified,Jun-10,Charged Off,debt_consolidation,5.97,Feb-99,0,3,0,16.1,17,13%-17%,2-10,0-20,2-20,31k-58k,145-274,5k-10k
29337,4000,4000, 60 months,15.21,95.61,D,D2,10,MORTGAGE,55000.0,Not Verified,Jun-10,Charged Off,major_purchase,16.04,Jan-73,1,10,0,93.2,30,13%-17%,2-10,80-100,20-37,58k-85k,14-145,0-5k
29338,5500,5500, 60 months,13.23,125.8,C,C1,5,MORTGAGE,24000.0,Not Verified,Jun-10,Charged Off,credit_card,22.75,Feb-83,0,14,0,35.9,31,13%-17%,10-19,20-40,20-37,3k-31k,14-145,5k-10k
29340,18000,11700, 60 months,11.86,259.44,B,B5,2,MORTGAGE,56004.0,Not Verified,Jun-10,Charged Off,debt_consolidation,14.93,Aug-92,2,11,0,70.7,35,9%-13%,10-19,60-80,20-37,58k-85k,145-274,15k-20k
29347,13000,8675, 60 months,18.3,221.71,F,F1,2,MORTGAGE,53600.0,Source Verified,Jun-10,Charged Off,debt_consolidation,20.51,Jun-99,1,13,0,89.5,34,17%-21%,10-19,80-100,20-37,58k-85k,145-274,10k-15k
29356,10000,6900, 60 months,11.86,153.0,B,B5,2,RENT,72000.0,Source Verified,Jun-10,Charged Off,debt_consolidation,19.1,Feb-94,2,11,0,45.3,29,9%-13%,10-19,40-60,20-37,85k-112k,145-274,5k-10k
29360,23000,14600, 60 months,17.93,370.19,E,E5,6,RENT,65000.0,Verified,Jun-10,Charged Off,debt_consolidation,16.3,Oct-89,0,8,1,90.7,13,17%-21%,2-10,80-100,2-20,58k-85k,274-403,20k-25k
29370,22000,15250, 60 months,19.04,395.93,F,F3,10,MORTGAGE,76000.0,Verified,Jun-10,Charged Off,debt_consolidation,11.05,Jan-94,0,11,0,49.6,33,17%-21%,10-19,40-60,20-37,85k-112k,274-403,20k-25k
29383,16000,16000, 36 months,14.35,549.57,C,C4,10,MORTGAGE,53000.0,Verified,Jun-10,Charged Off,credit_card,17.14,Jan-81,0,13,0,76.0,26,13%-17%,10-19,60-80,20-37,58k-85k,531-660,15k-20k
29395,18000,11825, 60 months,18.67,304.61,F,F2,3,RENT,65000.0,Verified,Jun-10,Charged Off,debt_consolidation,17.34,Nov-02,1,10,0,73.9,13,17%-21%,2-10,60-80,2-20,58k-85k,274-403,15k-20k
29404,16000,16000, 60 months,11.12,348.84,B,B3,10,MORTGAGE,98268.0,Verified,Jun-10,Charged Off,debt_consolidation,12.32,May-91,1,12,0,35.0,41,9%-13%,10-19,20-40,37-55,112k-140k,274-403,15k-20k
29405,4200,4200, 60 months,20.9,113.39,G,G3,1,RENT,39999.0,Source Verified,Jun-10,Charged Off,medical,11.55,Dec-02,1,3,0,95.5,8,21%-24%,2-10,80-100,2-20,31k-58k,14-145,0-5k
29408,3200,3200, 60 months,17.19,79.86,E,E3,4,MORTGAGE,30000.0,Source Verified,May-10,Charged Off,other,12.16,Jan-00,1,4,0,98.7,19,17%-21%,2-10,80-100,2-20,31k-58k,14-145,0-5k
29413,20000,13625, 60 months,15.58,328.31,D,D3,1,RENT,86004.0,Verified,Jun-10,Charged Off,debt_consolidation,17.54,Jan-01,1,12,0,67.8,18,13%-17%,10-19,60-80,2-20,85k-112k,274-403,15k-20k
29417,10000,10000, 60 months,15.21,239.01,D,D2,2,RENT,33600.0,Verified,Jun-10,Charged Off,major_purchase,4.46,Apr-99,2,5,0,77.1,5,13%-17%,2-10,60-80,2-20,31k-58k,145-274,5k-10k
29434,16000,9675, 60 months,11.49,212.73,B,B4,10,MORTGAGE,48996.0,Verified,Jun-10,Charged Off,other,14.84,Sep-93,1,9,0,14.1,28,9%-13%,2-10,0-20,20-37,58k-85k,145-274,15k-20k
29454,17500,11750, 60 months,13.23,268.74,C,C1,0,RENT,60000.0,Verified,Jun-10,Charged Off,small_business,23.92,Sep-91,0,10,0,43.1,20,13%-17%,2-10,40-60,20-37,58k-85k,145-274,15k-20k
29455,25000,16025, 60 months,11.49,352.36,B,B4,2,MORTGAGE,40000.0,Verified,Jun-10,Charged Off,home_improvement,4.95,Nov-89,3,9,0,6.1,33,9%-13%,2-10,0-20,20-37,31k-58k,274-403,20k-25k
29462,11200,8000, 60 months,16.45,196.47,E,E1,8,RENT,38400.0,Not Verified,Jun-10,Charged Off,other,24.41,Nov-97,3,8,0,94.1,11,13%-17%,2-10,80-100,2-20,31k-58k,145-274,10k-15k
29475,24250,15000, 60 months,16.32,367.33,D,D5,9,MORTGAGE,65004.0,Verified,Jun-10,Charged Off,debt_consolidation,22.13,Jul-97,1,18,0,46.9,30,13%-17%,10-19,40-60,20-37,58k-85k,274-403,20k-25k
29517,1000,1000, 60 months,15.7,24.16,D,D4,7,RENT,6000.0,Not Verified,May-10,Charged Off,educational,19.2,Jan-85,0,7,0,35.5,17,13%-17%,2-10,20-40,2-20,3k-31k,14-145,0-5k
29518,18250,13075, 60 months,16.07,318.45,D,D5,7,MORTGAGE,70160.0,Not Verified,Jun-10,Charged Off,credit_card,21.65,Aug-99,1,15,0,57.7,27,13%-17%,10-19,40-60,20-37,58k-85k,274-403,15k-20k
29522,20000,20000, 60 months,11.36,438.45,B,B5,10,MORTGAGE,90000.0,Verified,Jun-10,Charged Off,major_purchase,0.52,Sep-83,5,14,0,0.7,51,9%-13%,10-19,0-20,37-55,85k-112k,403-531,15k-20k
29526,3200,3200, 60 months,18.67,82.43,F,F2,1,RENT,18000.0,Source Verified,Jun-10,Charged Off,debt_consolidation,18.4,Aug-06,2,3,0,74.1,5,17%-21%,2-10,60-80,2-20,3k-31k,14-145,0-5k
29527,10000,10000, 60 months,15.33,239.64,D,D3,10,RENT,40000.0,Verified,May-10,Charged Off,debt_consolidation,11.61,Apr-98,0,8,1,74.7,10,13%-17%,2-10,60-80,2-20,31k-58k,145-274,5k-10k
29531,4800,4800, 60 months,16.07,116.91,D,D5,2,RENT,16000.0,Verified,May-10,Charged Off,wedding,10.01,Apr-05,0,3,0,94.2,5,13%-17%,2-10,80-100,2-20,3k-31k,14-145,0-5k
29533,6600,6600, 60 months,15.33,158.16,D,D3,0,RENT,36000.0,Verified,May-10,Charged Off,credit_card,12.63,Jan-01,0,15,0,62.4,27,13%-17%,10-19,60-80,20-37,31k-58k,145-274,5k-10k
29548,25000,16050, 60 months,10.62,345.94,B,B3,9,RENT,49200.0,Verified,Jun-10,Charged Off,debt_consolidation,23.12,Aug-01,0,8,0,8.3,24,9%-13%,2-10,0-20,20-37,58k-85k,274-403,20k-25k
29555,9000,5750, 60 months,7.88,116.26,A,A5,10,MORTGAGE,57600.0,Not Verified,Jun-10,Charged Off,house,12.17,Mar-88,2,10,0,56.9,34,5%-9%,2-10,40-60,20-37,58k-85k,14-145,5k-10k
29559,5000,5000, 36 months,13.11,168.74,C,C2,7,RENT,26400.0,Verified,May-10,Charged Off,vacation,11.86,Jun-02,1,4,0,25.0,9,13%-17%,2-10,20-40,2-20,31k-58k,145-274,0-5k
29566,20000,20000, 60 months,14.96,475.38,D,D2,10,MORTGAGE,70000.0,Verified,May-10,Charged Off,debt_consolidation,15.54,Oct-92,3,15,0,64.1,36,13%-17%,10-19,60-80,20-37,58k-85k,403-531,15k-20k
29574,8000,8000, 36 months,7.14,247.53,A,A3,10,RENT,36996.0,Verified,May-10,Charged Off,debt_consolidation,20.86,Sep-99,0,7,0,63.0,24,5%-9%,2-10,60-80,20-37,31k-58k,145-274,5k-10k
29582,16000,16000, 60 months,15.33,383.42,D,D3,6,MORTGAGE,48000.0,Not Verified,May-10,Charged Off,wedding,17.25,Dec-00,3,10,0,49.8,17,13%-17%,2-10,40-60,2-20,31k-58k,274-403,15k-20k
29595,3700,3700, 60 months,16.45,90.87,E,E1,2,RENT,50001.56,Not Verified,May-10,Charged Off,other,21.73,Sep-94,2,8,0,79.8,29,13%-17%,2-10,60-80,20-37,58k-85k,14-145,0-5k
29602,8500,8500, 60 months,20.53,227.72,G,G2,7,RENT,23000.0,Source Verified,Jun-10,Charged Off,debt_consolidation,12.73,May-06,3,3,0,96.4,9,17%-21%,2-10,80-100,2-20,3k-31k,145-274,5k-10k
29610,9250,9250, 60 months,13.11,210.99,C,C2,6,OWN,21300.0,Verified,May-10,Charged Off,debt_consolidation,14.2,Dec-04,1,12,0,64.2,15,13%-17%,10-19,60-80,2-20,3k-31k,145-274,5k-10k
29620,20000,13300, 60 months,10.62,286.67,B,B3,2,RENT,42500.0,Verified,Jun-10,Charged Off,debt_consolidation,20.67,Nov-96,0,6,0,46.6,17,9%-13%,2-10,40-60,2-20,31k-58k,274-403,15k-20k
29627,10000,10000, 36 months,15.33,348.28,D,D3,7,RENT,50004.0,Not Verified,May-10,Charged Off,debt_consolidation,18.53,Sep-99,2,6,0,64.3,16,13%-17%,2-10,60-80,2-20,58k-85k,274-403,5k-10k
29630,1000,1000, 36 months,10.99,32.74,B,B4,0,RENT,24000.0,Source Verified,May-10,Charged Off,major_purchase,15.35,Sep-06,0,5,0,40.9,11,9%-13%,2-10,40-60,2-20,3k-31k,14-145,0-5k
29632,1000,1000, 36 months,10.25,32.39,B,B2,6,RENT,28000.0,Not Verified,May-10,Charged Off,major_purchase,24.21,Nov-02,3,7,0,89.3,21,9%-13%,2-10,80-100,20-37,31k-58k,14-145,0-5k
29634,8500,8500, 60 months,13.11,193.89,C,C2,7,MORTGAGE,48000.0,Not Verified,May-10,Charged Off,debt_consolidation,10.59,Sep-98,1,22,0,21.4,62,13%-17%,19-27,20-40,55-74,31k-58k,145-274,5k-10k
29635,3600,3600, 60 months,15.7,86.98,D,D4,5,RENT,38004.0,Verified,May-10,Charged Off,debt_consolidation,22.89,Apr-04,2,7,0,59.9,17,13%-17%,2-10,40-60,2-20,31k-58k,14-145,0-5k
29637,16000,16000, 60 months,16.82,396.1,E,E2,10,OWN,55000.0,Verified,May-10,Charged Off,debt_consolidation,22.56,Oct-84,3,18,0,77.8,49,17%-21%,10-19,60-80,37-55,58k-85k,274-403,15k-20k
29645,7200,7200, 60 months,14.96,171.14,D,D2,3,RENT,68004.0,Not Verified,May-10,Charged Off,debt_consolidation,14.84,Mar-02,1,8,0,77.7,17,13%-17%,2-10,60-80,2-20,58k-85k,145-274,5k-10k
29651,25000,25000, 36 months,12.73,839.11,C,C1,10,OWN,93000.0,Verified,May-10,Charged Off,home_improvement,8.83,Oct-88,6,14,0,15.3,35,9%-13%,10-19,0-20,20-37,112k-140k,789-918,20k-25k
29655,16000,10275, 60 months,7.51,205.94,A,A4,10,MORTGAGE,65000.0,Not Verified,Jun-10,Charged Off,debt_consolidation,9.3,Apr-89,2,7,0,22.3,14,5%-9%,2-10,20-40,2-20,58k-85k,145-274,15k-20k
29668,4750,4750, 36 months,7.88,148.59,A,A5,0,OWN,18000.0,Not Verified,May-10,Charged Off,car,21.6,Apr-02,0,10,0,32.4,16,5%-9%,2-10,20-40,2-20,3k-31k,145-274,0-5k
29680,15000,15000, 36 months,15.33,522.41,D,D3,2,MORTGAGE,99996.0,Source Verified,May-10,Charged Off,debt_consolidation,8.93,May-95,1,8,0,48.6,13,13%-17%,2-10,40-60,2-20,112k-140k,403-531,10k-15k
29693,25000,15325, 60 months,10.99,333.13,B,B4,5,RENT,84996.0,Verified,May-10,Charged Off,major_purchase,0.99,Sep-99,3,14,0,0.4,30,9%-13%,10-19,0-20,20-37,85k-112k,274-403,20k-25k
29710,15000,10325, 60 months,17.56,259.73,E,E4,7,OWN,32004.0,Verified,May-10,Charged Off,debt_consolidation,11.96,Nov-00,0,7,0,77.2,14,17%-21%,2-10,60-80,2-20,31k-58k,145-274,10k-15k
29711,16800,10250, 60 months,10.99,222.81,B,B4,3,MORTGAGE,65000.0,Not Verified,May-10,Charged Off,debt_consolidation,13.42,Oct-95,3,10,0,42.0,44,9%-13%,2-10,40-60,37-55,58k-85k,145-274,15k-20k
29728,12000,8700, 36 months,11.36,286.32,B,B5,7,MORTGAGE,26000.0,Source Verified,May-10,Charged Off,debt_consolidation,13.75,Apr-05,0,5,0,93.2,20,9%-13%,2-10,80-100,20-37,3k-31k,274-403,10k-15k
29735,2500,2500, 36 months,14.22,85.72,C,C5,10,RENT,18984.0,Not Verified,May-10,Charged Off,vacation,0.0,Jan-00,1,2,0,0.0,7,13%-17%,2-10,0-20,2-20,3k-31k,14-145,0-5k
29751,25000,17325, 60 months,17.56,435.81,E,E4,9,RENT,73000.0,Verified,May-10,Charged Off,credit_card,18.36,May-04,0,6,0,71.0,8,17%-21%,2-10,60-80,2-20,85k-112k,403-531,20k-25k
29756,4000,4000, 36 months,14.59,137.86,D,D1,10,RENT,34000.0,Not Verified,May-10,Charged Off,debt_consolidation,6.28,Jan-97,2,9,0,77.8,15,13%-17%,2-10,60-80,2-20,31k-58k,14-145,0-5k
29768,25000,16525, 60 months,13.11,376.93,C,C2,6,RENT,60000.0,Verified,May-10,Charged Off,debt_consolidation,23.72,Apr-96,0,14,0,50.5,23,13%-17%,10-19,40-60,20-37,58k-85k,274-403,20k-25k
29769,10000,10000, 36 months,14.59,344.65,D,D1,4,RENT,30000.0,Not Verified,May-10,Charged Off,credit_card,21.48,May-07,0,10,0,58.6,10,13%-17%,2-10,40-60,2-20,31k-58k,274-403,5k-10k
29786,25000,16350, 60 months,17.93,414.57,E,E5,4,RENT,111000.0,Source Verified,May-10,Charged Off,credit_card,15.73,Dec-90,1,12,0,79.6,63,17%-21%,10-19,60-80,55-74,112k-140k,403-531,20k-25k
29791,6000,6000, 60 months,10.99,130.43,B,B4,10,RENT,66000.0,Not Verified,May-10,Charged Off,other,8.2,Nov-80,0,24,0,7.4,47,9%-13%,19-27,0-20,37-55,58k-85k,14-145,5k-10k
29797,10000,10000, 36 months,16.45,353.8,E,E1,0,MORTGAGE,26000.0,Not Verified,May-10,Charged Off,house,12.23,Aug-00,3,9,0,94.2,21,13%-17%,2-10,80-100,20-37,3k-31k,274-403,5k-10k
29807,7750,7750, 36 months,14.22,265.71,C,C5,8,MORTGAGE,104000.0,Verified,May-10,Charged Off,debt_consolidation,21.35,Jul-82,1,21,0,67.3,42,13%-17%,19-27,60-80,37-55,112k-140k,145-274,5k-10k
29810,25000,18250, 60 months,11.36,400.09,B,B5,4,MORTGAGE,53000.0,Verified,May-10,Charged Off,debt_consolidation,20.63,Apr-85,1,8,0,64.4,24,9%-13%,2-10,60-80,20-37,58k-85k,274-403,20k-25k
29813,10000,10000, 36 months,17.93,361.18,E,E5,10,RENT,100000.0,Not Verified,May-10,Charged Off,other,18.06,Jun-89,1,26,0,74.4,51,17%-21%,19-27,60-80,37-55,112k-140k,274-403,5k-10k
29815,14400,14400, 60 months,16.45,353.64,E,E1,2,RENT,32400.0,Source Verified,May-10,Charged Off,credit_card,14.78,Jun-98,1,7,1,97.1,39,13%-17%,2-10,80-100,37-55,31k-58k,274-403,10k-15k
29834,9600,5975, 60 months,7.51,119.76,A,A4,10,RENT,20640.0,Not Verified,May-10,Charged Off,debt_consolidation,0.25,Oct-00,2,5,0,57.2,14,5%-9%,2-10,40-60,2-20,3k-31k,14-145,5k-10k
29841,5000,5000, 36 months,12.73,167.83,C,C1,4,RENT,40000.0,Not Verified,May-10,Charged Off,other,16.68,May-01,0,11,0,60.8,37,9%-13%,10-19,60-80,37-55,31k-58k,145-274,0-5k
